rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
383,6600,Finance & Investments,Nadia Thiele,47,Germany,Munich,Investments,F,,83132799
383,6600,Technology,"Henry Nicholas, III.",63,United States,Newport Coast,Semiconductors,M,Cofounder,328239523
383,6600,Food & Beverage,Trudy Cathy White,67,United States,Hampton,Chick-fil-A,F,,328239523
383,6600,Food & Beverage,Bubba Cathy,68,United States,Atlanta,Chick-fil-A,M,,328239523
383,6600,Food & Beverage,Dan Cathy,70,United States,Atlanta,Chick-fil-A,M,,328239523
383,6600,Finance & Investments,Bruce Kovner,78,United States,New York,Hedge funds,M,Founder,328239523
390,6500,Real Estate,Radovan Vitek,51,Switzerland,Crans Montana,Real estate,M,,8574832
390,6500,Technology,Melinda French Gates,58,United States,Medina,Microsoft,F,Cochair,328239523
390,6500,Finance & Investments,David Bonderman,80,United States,Fort Worth,Private equity,M,,328239523
390,6500,Diversified,Simon Reuben,81,Monaco,Monaco,"Real estate, investments",M,,38964
390,6500,Real Estate,David Reuben,84,United Kingdom,London,"Investments, real estate",M,,66834405
390,6500,Fashion & Retail,Nathan Kirsh,91,Eswatini (Swaziland),Ezulwini,"Retail, real estate",M,,
390,6500,Real Estate,Annette Lerner & family,93,United States,Chevy Chase,Real estate,F,,328239523
397,6400,Manufacturing,Dmitry Rybolovlev & family,56,Monaco,Monaco,Fertilizer,M,,38964
397,6400,Healthcare,Jian Jun,59,China,Beijing,Biomedical products,F,,1397715000
397,6400,Energy,Alexei Kuzmichev,60,France,Paris,"Oil, banking, telecom",M,,67059887
397,6400,Sports,Stephen Bisciotti,62,United States,Hobe Sound,"Staffing, Baltimore Ravens",M,Owner,328239523
397,6400,Finance & Investments,Stanley Druckenmiller,69,United States,New York,Hedge funds,M,Founder,328239523
397,6400,Finance & Investments,Carl Bennet,71,Sweden,Gothenberg,Investments,M,,10285453
397,6400,Logistics,Dennis Washington,88,United States,Missoula,"Construction, mining",M,,328239523
397,6400,Finance & Investments,Luis Carlos Sarmiento,90,Colombia,Bogota,Banking,M,,50339443
405,6300,Energy,Gao Jifan & family,58,China,Changzhou,Solar equipment,M,,1397715000
405,6300,Energy,Wang Yusuo & family,59,China,Langfang,Natural gas distribution,M,,1397715000
405,6300,Finance & Investments,John Grayken,66,United Kingdom,London,Private equity,M,Investor,66834405
405,6300,Construction & Engineering,Anthony Bamford & family,77,United Kingdom,Gloucestershire,Construction equipment,M,,66834405
405,6300,Healthcare,Alain Merieux & family,85,France,Lyon,Pharmaceuticals,M,,67059887
